Conutry_Adress,Descripiton,Founded_Year,Horly_Rate,Number_of_Employees,Phone_Number,Project_Size,Street_Adress,company_name,company_website
Colombia,"For the first time in history it’s not the strongest or the richest of companies that survive… ...but the most responsive to change. We constantly see organizations believe that the marginal progress of their current technological infrastructure will keep up with the speed of transformation it needs. The quality of a drastic technological transformation solely depends on the value of the talent leading it. Stop hiring the same to achieve something different. We only hire mutants; we only hire the best in class. We only hire those who are bold enough to propose technologies of a different class in order to achieve results that will keep our clients prepared for drastic changes, unmeasurable acceleration, and face the uncertainty future surely holds. In today’s world, artificial intelligence is the beacon that reduces uncertainty. We, mutek, are those who help your organization build the finest beacon. We believe that companies must technologically mutate into a sharp and dynamic infrastructure. And later, and only later, fiercely focus on the implementation of artificial intelligence in order to stay in the game.",Founded 2012,$25 - $49 / hr,10 - 49,+573147077654,"$5,000+",Calle 7 Sur # 42 - 70 oficina 17.05,Mutek,http://www.mutek.io
Thailand,"We provide consulting and outsourcing services to solve IT related issues for our clients. We specialize in business analysis, systems integration, Enterprise Resource Planning (ERP), Customer Relationship Management (CRM), Microsoft Dynamics AX, Microsoft Sharepoint, Oracle, SAP, Office 365, and many others. We see a bright future in Robotic Process Automation (RPA), Artificial Intelligence (AI) and are investing in these areas for future growth. As a leader in this field in Thailand, we already have developed and installed software robots for many of our customers who use them to speed up their business processes reducing processing error rates to zero.",Founded 2014,$25 - $49 / hr,10 - 49,+662-115-9787,"$10,000+","Charn Issara Tower 1, Suite 942/42, Plaza Floor, Rama 4 Road",New Computer Technology Consulting Co. Ltd.,https://nctthai.com/
,"We Deal in J2EE J2SE , Blcokchain , AI , IoT, Bigdata, Android, iOS Custom Java Development, Enterprises Web/Mobile",Founded 2017,< $25 / hr,10 - 49,,"$1,000+",,Machwares IT Solutions,http://machwares.in
India,"We are IT Service-Providing Company We Provide All Kind of IT Services Like Mobile Application Design and Development, Website Design and Development With Modern Design Concepts Develop Softwares and Develop ERP's  for All Kind of Industries  and Give Solution of All Kind of Industries in all Over the Globe",Founded 2018,$25 - $49 / hr,10 - 49,+919909673359,"$1,000+",603-Dhan-Rajni Complex Dr Yagnik Road,QUBEBIZ,http://qubebiz.com/
United Kingdom,Your Untapped Potential Awaits,Founded 2017,$50 - $99 / hr,2 - 9,+44 02030047985,Undisclosed,Shelton Street,Untapped,https://www.thisisuntapped.com/
Colombia,"We are a team of marketers, designers, developers and managers who are passionate about what we do.",Founded 2019,$25 - $49 / hr,2 - 9,304 5974576,"$1,000+",Sabaneta,ACL Company Group,https://aclcompanygroup.com/
Ireland,We help businesses become technologically advanced and smarter. Square Spirit was founded to bridge the gap between technology and its implementation. Most of the organizations don't know what/which kind of technology is best suited for their business models. Advancement in technology will be of no use if it is not implemented in day to day businesses.,Founded 2020,Undisclosed,2 - 9,0894842169,"$1,000+",Chq Building,Square Spirit,https://www.squarespirit.ie
United Kingdom,"We help Businesses & Entrepreneurs with 3D AI Chatbots design and implementation, HIGH converting sales funnels, adverts & websites that produce sales and revenue.",Founded 2018,$50 - $99 / hr,2 - 9,,"$1,000+","Castle Hill House, 12 Castle Hill, Windsor",Data Tech City,http://www.datatechcity.com
India,"Success, this is WHAT WE HAVE IN OUR DNA. Because we know how important it is for you to succeed, our business savvy engineers grow with you by building software solutions for you",Founded 2020,$25 - $49 / hr,2 - 9,+4917621583797,"$1,000+","No. 155, Sri Sai Krupa, Geology Department, Nagarabhavi 2nd Stage, Bangalore India",Lesolvo,http://www.lesolvo.com/
,"You've heard the hype around Big Data and AI. Perhaps you have ideas about how you could use data to your advantage. But how do you actually get there when the gap between ideas and useful implementation can be so wide and complex. That's where Melgren Analytics comes in. We go beyond the noise to meet your actual business needs with practical, powerful data solutions. Whether you need complete project guidance or help with one small aspect of an analytics project, Melgren Analytics is here to help.",Founded 2019,Undisclosed,Freelancer,,Undisclosed,,Melgren Analytics,https://www.melgrenanalytics.com/
,"TWIG is a global management consulting firm delivering solutions that realize our customer's strategic goals through digital transformation, data and analytics, and AI. Our industry focus is in healthcare, pharma, life sciences, medical devices, and consumer products, and our business domain expertise is concentrated in Supply Chain, CRM, Marketing, Patient Health and Outcomes, Clinical Trials Management, Safety and Adverse Events, Finance FPA , HR, and Risk Management.",Founded 2007,Undisclosed,50 - 249,,Undisclosed,,TWIG International,https://twiginternational.com/
United States,"Zenon marries advanced machine learning, automation, and practical industry experience to build and activate real-world, AI-rich, working solutions. We are focused on doing and delivering: not consultants, but rather, “resultants.”",Founded 2018,Undisclosed,50 - 249,,Undisclosed,"c/o Industrious @ Equinox 31 Hudson Yards, 11th Floor",Zenon,https://www.zenon.ai/
United Arab Emirates,"Axey is a digital company that specializes in developing web projects, mobile apps, UI/UX, logo and illustration design & custom software. We work with different companies from startups to large enterprises all over the world: from the US and Australia all the way to Europe and Persian Gulf countries.",Founded 2018,$25 - $49 / hr,50 - 249,+971501409306,"$1,000+","Dubai Silicon Oasis A1, DSO IFZA,",Axey FZCO,https://axey.ltd
United States,"At Paltech, we build mission-critical software systems using the power of Digital, Data, Cloud & AI – that help organizations adapt to the changing IT landscape and surpass the competition.",Founded 2022,$25 - $49 / hr,50 - 249,+17372375944,"$5,000+",8 The Green,PalTech,https://pal.tech/
China,"Founded in September 2014, Shanghai Weiwenjia Information Technology Co., Ltd., is a leading B2B digital intelligent sales system service provider in China. With Li Xiao Yun as the core platform, the company provides integrated SaaS services for small and medium-sized enterprises, covering ""client acquisition, client screening, client management-digital storage-client service operation""",Founded 2014,Undisclosed,50 - 249,+86-400-618-177,Undisclosed,"Unit 202-204, Building 1, Lujiazui Software Park, No. 98, Lane 91, Eshan Road,","Shanghai Weiwenjia Information Technology Co., Ltd",https://www.lixiaoyun.com/
China,"Shenzhen Farben Information Technology Co., Ltd. (Farben Information Technology) is a leading company which is providing software services globally. Farben devoted to help our partners to achieve business goal by offering innovative technologies. Established in 2006, the company is based in Shenzhen and branches distributed in Beijing, Shanghai, Guangzhou, Nanjing, Hangzhou, Wuhan, Chengdu, Xi'an etc.",Founded 2006,Undisclosed,"10,000+",+86-755-2363-3188,Undisclosed,"Block B, Yudashun Science and Technology Park, 15 Gaoxin North 6th Road","Shenzhen Farben Information Technology Co., Ltd.",http://www.farben.com.cn
Canada,"Arcurve is one of North America’s leading full-service technology, advisory and software development companies. In 2006, we began with a belief that there was a better way to deliver professional services in the technology industry. Since then we have completed more than 700 projects for clients ranging from start-ups to Fortune 500 companies. From our offices in Calgary, Halifax, Houston, and Vancouver we deliver exceptional results for our clients in a diverse range of industries including telecommunications, oil and gas, transportation, private equity, gaming, infrastructure, software, financial, and hospitality.",Founded 2006,Undisclosed,50 - 249,403.242.4361,Undisclosed,"308 4 Ave SW, 1700",Arcurve Inc.,http://www.arcurve.com
